"site","location","plot","time","year","spec","cover.c","cover.p","cover.tot","w"
"BL","H_10x10",76,1,1995,"Amaranthus blitoides",3,2.5,104,0.024
"BL","H_10x10",76,1,1995,"Amaranthus retroflexus",3,2.5,104,0.024
"BL","H_10x10",76,1,1995,"Atriplex patula",3,2.5,104,0.024
"BL","H_10x10",76,1,1995,"Bassia scoparia",2,0.1,104,0.001
"BL","H_10x10",76,1,1995,"Chenopodium album",6,62.5,104,0.601
"BL","H_10x10",76,1,1995,"Lactuca serriola",4,15.5,104,0.149
"BL","H_10x10",76,1,1995,"Silene noctiflora",2,0.1,104,0.001
"BL","H_10x10",76,1,1995,"Sonchus oleraceus",2,0.1,104,0.001
"BL","H_10x10",76,1,1995,"Stellaria media",4,15.5,104,0.149
"BL","H_10x10",76,1,1995,"Taraxacum officinale",2,0.1,104,0.001
"BL","H_10x10",76,1,1995,"Thlaspi arvense",3,2.5,104,0.024
"BL","H_10x10",76,1,1995,"Viola arvensis",2,0.1,104,0.001
"BL","H_10x10",76,2,1996,"Atriplex oblongifolia",3,2.5,90.8,0.028
"BL","H_10x10",76,2,1996,"Capsella bursa-pastoris",2,0.1,90.8,0.001
"BL","H_10x10",76,2,1996,"Cirsium arvense",3,2.5,90.8,0.028
"BL","H_10x10",76,2,1996,"Cirsium vulgare",3,2.5,90.8,0.028
"BL","H_10x10",76,2,1996,"Conyza canadensis",6,62.5,90.8,0.688
"BL","H_10x10",76,2,1996,"Crepis biennis",2,0.1,90.8,0.001
"BL","H_10x10",76,2,1996,"Fraxinus excelsior",2,0.1,90.8,0.001
"BL","H_10x10",76,2,1996,"Lactuca serriola",4,15.5,90.8,0.171
"BL","H_10x10",76,2,1996,"Picris hieracioides",3,2.5,90.8,0.028
"BL","H_10x10",76,2,1996,"Tripleurospermum perforatum",3,2.5,90.8,0.028
"BL","H_10x10",76,3,1997,"Artemisia vulgaris",2,0.1,102.6,0.001
"BL","H_10x10",76,3,1997,"Atriplex oblongifolia",3,2.5,102.6,0.024
"BL","H_10x10",76,3,1997,"Cirsium arvense",3,2.5,102.6,0.024
"BL","H_10x10",76,3,1997,"Epilobium tetragonum",3,2.5,102.6,0.024
"BL","H_10x10",76,3,1997,"Galium aparine",3,2.5,102.6,0.024
"BL","H_10x10",76,3,1997,"Picris hieracioides",7,87.5,102.6,0.853
"BL","H_10x10",76,3,1997,"Sisymbrium loeselii",3,2.5,102.6,0.024
"BL","H_10x10",76,3,1997,"Tripleurospermum perforatum",3,2.5,102.6,0.024
"BL","H_10x10",76,4,1998,"Cirsium arvense",4,15.5,123.5,0.126
"BL","H_10x10",76,4,1998,"Epilobium ciliatum",4,15.5,123.5,0.126
"BL","H_10x10",76,4,1998,"Epilobium tetragonum",7,87.5,123.5,0.709
"BL","H_10x10",76,4,1998,"Sambucus nigra",3,2.5,123.5,0.02
"BL","H_10x10",76,4,1998,"Sisymbrium loeselii",3,2.5,123.5,0.02
"BL","H_10x10",76,5,1999,"Calamagrostis epigejos",2,0.1,108.6,0.001
"BL","H_10x10",76,5,1999,"Cirsium arvense",4,15.5,108.6,0.143
"BL","H_10x10",76,5,1999,"Crepis biennis",2,0.1,108.6,0.001
"BL","H_10x10",76,5,1999,"Epilobium ciliatum",2,0.1,108.6,0.001
"BL","H_10x10",76,5,1999,"Epilobium parviflorum",7,87.5,108.6,0.806
"BL","H_10x10",76,5,1999,"Epilobium tetragonum",3,2.5,108.6,0.023
"BL","H_10x10",76,5,1999,"Fraxinus excelsior",2,0.1,108.6,0.001
"BL","H_10x10",76,5,1999,"Picris hieracioides",3,2.5,108.6,0.023
"BL","H_10x10",76,5,1999,"Rosa canina",2,0.1,108.6,0.001
"BL","H_10x10",76,5,1999,"Solidago canadensis",2,0.1,108.6,0.001
"BL","H_10x10",76,6,2000,"Calamagrostis epigejos",5,37.5,73.8,0.508
"BL","H_10x10",76,6,2000,"Cirsium arvense",4,15.5,73.8,0.21
"BL","H_10x10",76,6,2000,"Epilobium parviflorum",4,15.5,73.8,0.21
"BL","H_10x10",76,6,2000,"Epilobium tetragonum",3,2.5,73.8,0.034
"BL","H_10x10",76,6,2000,"Poa annua",2,0.1,73.8,0.001
"BL","H_10x10",76,6,2000,"Poa trivialis",2,0.1,73.8,0.001
"BL","H_10x10",76,6,2000,"Rosa canina",3,2.5,73.8,0.034
"BL","H_10x10",76,6,2000,"Solidago canadensis",2,0.1,73.8,0.001
"BL","H_10x10",76,7,2001,"Calamagrostis epigejos",6,62.5,83.3,0.75
"BL","H_10x10",76,7,2001,"Epilobium parviflorum",3,2.5,83.3,0.03
"BL","H_10x10",76,7,2001,"Epilobium tetragonum",2,0.1,83.3,0.001
"BL","H_10x10",76,7,2001,"Galium aparine",2,0.1,83.3,0.001
"BL","H_10x10",76,7,2001,"Poa trivialis",2,0.1,83.3,0.001
"BL","H_10x10",76,7,2001,"Rosa canina",3,2.5,83.3,0.03
