"site","location","plot","time","year","Acer campestre","Acer negundo","Acer platanoides","Acer pseudoplatanus","Acer tataricum","Achillea millefolium","Agrostis stolonifera","Alliaria petiolata","Amaranthus blitoides","Amaranthus retroflexus","Anagallis arvensis","Arctium minus","Arrhenatherum elatius","Artemisia vulgaris","Atriplex oblongifolia","Atriplex patula","Atriplex sagittata","Bassia scoparia","Bromus hordeaceus","Bromus sterilis","Calamagrostis epigejos","Capsella bursa-pastoris","Carduus acanthoides","Carduus crispus","Cerasus mahaleb","Chenopodium album","Cirsium arvense","Cirsium vulgare","Clematis vitalba","Conyza canadensis","Cornus alba","Cornus sanguinea","Crepis biennis","Dactylis glomerata","Daucus carota","Deschampsia flexuosa","Descurainia sophia","Dryopteris carthusiana","Dryopteris filix-mas","Echinochloa crus-galli","Elytrigia arenosa","Epilobium ciliatum","Epilobium parviflorum","Epilobium tetragonum","Euphorbia helioscopia","Fallopia convolvulus","Festuca rubra","Fraxinus excelsior","Galinsoga parviflora","Galium aparine","Geum urbanum","Helianthus annuus","Juglans regia","Lactuca serriola","Lamium amplexicaule","Lamium purpureum","Lolium perenne","Matricaria recutita","Papaver rhoeas","Persicaria lapathifolia","Picris hieracioides","Plantago intermedia","Poa angustifolia","Poa annua","Poa nemoralis","Poa palustris","Poa pratensis","Poa trivialis","Polygonum aviculare","Prunus domestica","Rosa canina","Rosa rubiginosa","Rubus armeniacus","Rubus fruticosus","Sambucus nigra","Silene noctiflora","Sisymbrium loeselii","Solanum nigrum","Solidago canadensis","Sonchus arvensis","Sonchus asper","Sonchus oleraceus","Stellaria media","Taraxacum officinale","Thlaspi arvense","Torilis japonica","Trifolium pratense","Tripleurospermum perforatum","Tussilago farfara","Urtica dioica","Urtica urens","Veronica agrestis","Veronica arvensis","Veronica persica","Vicia tetrasperma","Viola arvensis"
"BL","H_10x10",76,1,1995,0,0,0,0,0,0,0,0,0.024,0.024,0,0,0,0,0,0.024,0,0.001,0,0,0,0,0,0,0,0.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.001,0.149,0.001,0.024,0,0,0,0,0,0,0,0,0,0,0.001
"BL","H_10x10",76,2,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0.001,0,0,0,0,0.028,0.028,0,0.688,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.171,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0
"BL","H_10x10",76,3,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.024,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0
"BL","H_10x10",76,4,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126,0,0.709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BL","H_10x10",76,5,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.143,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.001,0.806,0.023,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BL","H_10x10",76,6,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.001,0,0,0.034,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BL","H_10x10",76,7,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.001,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.03,0,0,0,0,0,0,0,0.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BL","H_10x10",76,8,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0,0,0,0,0,0,0,0.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BL","H_10x10",76,9,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131,0,0,0,0,0,0,0.318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BL","H_10x10",76,10,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.171,0,0,0,0,0,0,0,0.414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BL","H_10x10",76,11,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262,0,0,0,0,0,0,0,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BL","H_10x10",76,12,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.227,0,0,0,0,0,0,0,0.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
