"site","location","plot","time","year","spec","cover.c","cover.p","cover.tot","w"
"BR","K",1,1,1994,"Lolium perenne",2,0.1,71.2,0.001
"BR","K",1,1,1994,"Taraxacum officinale",4,15.5,71.2,0.218
"BR","K",1,1,1994,"Trifolium hybridum",2,0.1,71.2,0.001
"BR","K",1,1,1994,"Trifolium pratense",5,37.5,71.2,0.527
"BR","K",1,1,1994,"Trifolium repens",3,2.5,71.2,0.035
"BR","K",1,1,1994,"Tripleurospermum perforatum",4,15.5,71.2,0.218
"BR","K",1,2,1995,"Elytrigia arenosa",2,0.1,105.7,0.001
"BR","K",1,2,1995,"Lolium perenne",3,2.5,105.7,0.024
"BR","K",1,2,1995,"Taraxacum officinale",4,15.5,105.7,0.147
"BR","K",1,2,1995,"Trifolium hybridum",2,0.1,105.7,0.001
"BR","K",1,2,1995,"Trifolium repens",7,87.5,105.7,0.828
"BR","K",1,3,1996,"Elytrigia arenosa",5,37.5,133.5,0.281
"BR","K",1,3,1996,"Lolium perenne",4,15.5,133.5,0.116
"BR","K",1,3,1996,"Taraxacum officinale",6,62.5,133.5,0.468
"BR","K",1,3,1996,"Trifolium pratense",3,2.5,133.5,0.019
"BR","K",1,3,1996,"Trifolium repens",4,15.5,133.5,0.116
"BR","K",1,4,1997,"Cirsium vulgare",3,2.5,85.6,0.029
"BR","K",1,4,1997,"Elytrigia arenosa",6,62.5,85.6,0.73
"BR","K",1,4,1997,"Lolium perenne",4,15.5,85.6,0.181
"BR","K",1,4,1997,"Taraxacum officinale",3,2.5,85.6,0.029
"BR","K",1,4,1997,"Trifolium pratense",2,0.1,85.6,0.001
"BR","K",1,4,1997,"Trifolium repens",3,2.5,85.6,0.029
"BR","K",1,5,1998,"Cirsium arvense",4,15.5,105.8,0.147
"BR","K",1,5,1998,"Elytrigia arenosa",7,87.5,105.8,0.827
"BR","K",1,5,1998,"Holcus lanatus",2,0.1,105.8,0.001
"BR","K",1,5,1998,"Lolium perenne",2,0.1,105.8,0.001
"BR","K",1,5,1998,"Poa pratensis",3,2.5,105.8,0.024
