"site","location","plot","time","year","spec","cover.c","cover.p","cover.tot","w"
"GR","10x10",155,1,1998,"Agrostis capillaris",4,15.5,74,0.209
"GR","10x10",155,1,1998,"Bromus sterilis",2,0.1,74,0.001
"GR","10x10",155,1,1998,"Dactylis glomerata",4,15.5,74,0.209
"GR","10x10",155,1,1998,"Eryngium campestre",3,2.5,74,0.034
"GR","10x10",155,1,1998,"Erysimum crepidifolium",2,0.1,74,0.001
"GR","10x10",155,1,1998,"Falcaria vulgaris",2,0.1,74,0.001
"GR","10x10",155,1,1998,"Festuca rupicola",5,37.5,74,0.507
"GR","10x10",155,1,1998,"Hieracium pilosella",3,2.5,74,0.034
"GR","10x10",155,1,1998,"Hieracium umbellatum",2,0.1,74,0.001
"GR","10x10",155,1,1998,"Vicia hirsuta",2,0.1,74,0.001
"GR","10x10",155,2,1999,"Achillea pannonica",3,2.5,101.4,0.025
"GR","10x10",155,2,1999,"Agrostis capillaris",6,62.5,101.4,0.616
"GR","10x10",155,2,1999,"Dactylis glomerata",4,15.5,101.4,0.153
"GR","10x10",155,2,1999,"Eryngium campestre",3,2.5,101.4,0.025
"GR","10x10",155,2,1999,"Erysimum crepidifolium",2,0.1,101.4,0.001
"GR","10x10",155,2,1999,"Festuca rupicola",4,15.5,101.4,0.153
"GR","10x10",155,2,1999,"Hieracium pilosella",2,0.1,101.4,0.001
"GR","10x10",155,2,1999,"Hieracium umbellatum",2,0.1,101.4,0.001
"GR","10x10",155,2,1999,"Vicia hirsuta",2,0.1,101.4,0.001
"GR","10x10",155,2,1999,"Vulpia myuros",3,2.5,101.4,0.025
"GR","10x10",155,3,2000,"Agrostis capillaris",4,15.5,101.4,0.153
"GR","10x10",155,3,2000,"Dactylis glomerata",4,15.5,101.4,0.153
"GR","10x10",155,3,2000,"Eryngium campestre",3,2.5,101.4,0.025
"GR","10x10",155,3,2000,"Erysimum crepidifolium",2,0.1,101.4,0.001
"GR","10x10",155,3,2000,"Falcaria vulgaris",3,2.5,101.4,0.025
"GR","10x10",155,3,2000,"Festuca rubra",2,0.1,101.4,0.001
"GR","10x10",155,3,2000,"Festuca rupicola",6,62.5,101.4,0.616
"GR","10x10",155,3,2000,"Hieracium pilosella",3,2.5,101.4,0.025
"GR","10x10",155,3,2000,"Hieracium sabaudum",2,0.1,101.4,0.001
"GR","10x10",155,3,2000,"Poa angustifolia",2,0.1,101.4,0.001
"GR","10x10",155,4,2001,"Agrostis capillaris",6,62.5,118.9,0.526
"GR","10x10",155,4,2001,"Dactylis glomerata",3,2.5,118.9,0.021
"GR","10x10",155,4,2001,"Eryngium campestre",4,15.5,118.9,0.13
"GR","10x10",155,4,2001,"Falcaria vulgaris",2,0.1,118.9,0.001
"GR","10x10",155,4,2001,"Festuca ovina",5,37.5,118.9,0.315
"GR","10x10",155,4,2001,"Festuca rubra",2,0.1,118.9,0.001
"GR","10x10",155,4,2001,"Galium mollugo",2,0.1,118.9,0.001
"GR","10x10",155,4,2001,"Hieracium pilosella",2,0.1,118.9,0.001
"GR","10x10",155,4,2001,"Hieracium umbellatum",2,0.1,118.9,0.001
"GR","10x10",155,4,2001,"Hypericum perforatum",2,0.1,118.9,0.001
"GR","10x10",155,4,2001,"Koeleria macrantha",2,0.1,118.9,0.001
"GR","10x10",155,4,2001,"Poa angustifolia",2,0.1,118.9,0.001
"GR","10x10",155,4,2001,"Trisetum flavescens",2,0.1,118.9,0.001
"GR","10x10",155,5,2002,"Achillea millefolium",2,0.1,110.5,0.001
"GR","10x10",155,5,2002,"Agrostis capillaris",6,62.5,110.5,0.566
"GR","10x10",155,5,2002,"Arrhenatherum elatius",2,0.1,110.5,0.001
"GR","10x10",155,5,2002,"Dactylis glomerata",2,0.1,110.5,0.001
"GR","10x10",155,5,2002,"Eryngium campestre",3,2.5,110.5,0.023
"GR","10x10",155,5,2002,"Falcaria vulgaris",2,0.1,110.5,0.001
"GR","10x10",155,5,2002,"Festuca ovina",5,37.5,110.5,0.339
