"site","location","plot","time","year","Acer campestre","Achillea millefolium","Achillea pannonica","Achillea setacea","Aegopodium podagraria","Agrimonia eupatoria","Agrostis capillaris","Apera spica-venti","Arabidopsis thaliana","Arrhenatherum elatius","Bromus sterilis","Calamagrostis epigejos","Carduus acanthoides","Carlina vulgaris","Cirsium arvense","Convolvulus arvensis","Dactylis glomerata","Daucus carota","Dianthus carthusianorum","Echium vulgare","Elytrigia arenosa","Epilobium ciliatum","Epilobium tetragonum","Erigeron acris","Eryngium campestre","Erysimum crepidifolium","Falcaria vulgaris","Festuca laevigata","Festuca ovina","Festuca pratensis","Festuca rubra","Festuca rupicola","Galium aparine","Galium mollugo","Galium ochroleucum","Galium x pomeranicum","Helictotrichon pratense","Hieracium pilosella","Hieracium sabaudum","Hieracium umbellatum","Hypericum perforatum","Inula conyza","Koeleria macrantha","Lamium purpureum","Lathyrus tuberosus","Myosotis arvensis","Myosotis ramosissima","Myosotis stricta","Picris hieracioides","Poa angustifolia","Poa pratensis","Polygonum aviculare","Prunus mahaleb","Rosa canina","Rosa rubiginosa","Rumex thyrsiflorus","Securigera varia","Senecio jacobaea","Senecio vernalis","Sisymbrium loeselii","Tanacetum vulgare","Torilis japonica","Tragopogon pratensis","Trifolium arvense","Trifolium campestre","Tripleurospermum perforatum","Trisetum flavescens","Urtica urens","Veronica arvensis","Vicia angustifolia","Vicia hirsuta","Vicia sativa","Vicia tetrasperma","Viola arvensis","Vulpia myuros"
"GR","10x10",155,1,1998,0,0,0,0,0,0,0.209,0,0,0,0.001,0,0,0,0,0,0.209,0,0,0,0,0,0,0,0.034,0.001,0.001,0,0,0,0,0.507,0,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0
"GR","10x10",156,1,1998,0,0,0,0,0,0.001,0.21,0,0,0,0,0,0,0,0,0,0.509,0,0,0,0,0,0,0,0.034,0,0.034,0,0,0,0,0.21,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GR","10x10",157,1,1998,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0.728,0,0,0,0.029,0,0,0,0.029,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.001,0
"GR","10x10",158,1,1998,0,0,0,0,0,0.021,0.322,0.021,0,0,0,0,0,0,0,0,0.021,0,0,0,0.133,0,0,0,0.021,0,0,0,0,0,0,0.322,0,0,0,0,0,0,0,0,0.133,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0
"GR","10x10",159,1,1998,0,0.001,0,0,0,0,0.337,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.139,0,0,0,0.022,0,0,0,0,0,0,0.337,0,0.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0
"GR","10x10",160,1,1998,0,0,0,0,0,0,0.273,0,0,0,0,0,0,0,0,0,0.273,0,0,0,0.002,0,0,0,0.044,0,0,0,0,0,0.044,0.273,0,0,0,0,0,0.044,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044
"GR","10x10",161,1,1998,0,0,0,0,0,0,0.392,0,0,0,0,0,0,0,0,0,0.162,0,0,0,0,0,0,0,0.026,0,0.001,0,0,0,0,0.392,0,0,0,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0
"GR","10x10",162,1,1998,0,0,0,0,0,0,0.142,0,0,0,0,0,0,0,0,0,0.574,0,0,0,0.142,0,0.001,0,0.023,0,0.023,0,0,0,0,0.023,0,0,0,0,0,0.023,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.001,0,0,0.001,0.023
"GR","10x10",163,1,1998,0,0,0,0,0,0,0.153,0.001,0,0,0,0,0,0,0,0,0.025,0,0,0,0.616,0,0,0,0.001,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.001,0,0,0,0.025
"GR","10x10",164,1,1998,0,0.001,0,0,0,0,0.476,0,0,0,0,0,0,0,0,0,0.032,0,0,0,0.197,0,0,0,0.032,0,0,0,0,0,0,0.197,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0,0,0,0.001
"GR","10x10",165,1,1998,0,0,0,0.001,0,0,0.602,0,0,0,0,0,0,0,0,0,0.024,0.024,0,0,0.024,0,0,0,0.149,0,0,0,0,0,0,0.024,0,0,0,0,0,0.149,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.001
"GR","10x10",166,1,1998,0,0,0,0,0,0,0.678,0,0,0,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0.019,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0.12,0,0,0.001,0.019,0,0,0,0,0,0,0.001,0.019,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001
"GR","10x10",167,1,1998,0,0,0,0,0,0.001,0.55,0,0,0.022,0,0,0,0,0,0,0.136,0,0,0,0,0,0,0,0.022,0,0.022,0,0,0,0,0.022,0,0,0,0.022,0,0.136,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022
"GR","10x10",168,1,1998,0,0,0,0,0,0,0.427,0,0,0.001,0,0,0,0,0,0,0.028,0,0,0,0.427,0,0,0,0.028,0,0.028,0,0,0,0,0.001,0,0,0,0.001,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.028
"GR","10x10",169,1,1998,0,0,0,0,0,0,0.603,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0.149,0,0.024,0,0.024,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.149
"GR","10x10",170,1,1998,0,0,0,0.024,0,0,0.602,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.024,0,0,0,0.149,0,0,0,0,0,0,0.024,0,0,0,0,0,0.024,0,0,0.001,0,0,0,0,0,0,0,0,0.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001
"GR","10x10",171,1,1998,0,0,0,0,0,0,0.516,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0.001,0,0,0,0.021,0,0,0,0,0,0,0.001,0,0,0,0,0,0.31,0,0,0.021,0,0,0,0,0,0,0,0.001,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001
"GR","10x10",172,1,1998,0,0,0,0,0,0,0.872,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.025,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0.025,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0
"GR","10x10",173,1,1998,0,0,0,0,0,0,0.356,0,0,0,0,0,0,0,0,0,0,0,0,0,0.594,0,0,0,0.024,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0
"GR","10x10",174,1,1998,0,0,0,0,0,0.001,0.203,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0.491,0,0,0,0.033,0,0,0,0,0,0,0.001,0,0.033,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.203
"GR","10x10",175,1,1998,0,0,0,0,0,0,0.771,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0.137,0.022,0,0,0,0,0.001,0,0,0,0,0,0.022,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0,0,0,0,0,0,0,0.001
