"site","location","plot","time","year","Acer campestre","Achillea millefolium","Achillea pannonica","Achillea setacea","Aegopodium podagraria","Agrimonia eupatoria","Agrostis capillaris","Apera spica-venti","Arabidopsis thaliana","Arrhenatherum elatius","Bromus sterilis","Calamagrostis epigejos","Carduus acanthoides","Carlina vulgaris","Cirsium arvense","Convolvulus arvensis","Dactylis glomerata","Daucus carota","Dianthus carthusianorum","Echium vulgare","Elytrigia arenosa","Epilobium ciliatum","Epilobium tetragonum","Erigeron acris","Eryngium campestre","Erysimum crepidifolium","Falcaria vulgaris","Festuca laevigata","Festuca ovina","Festuca pratensis","Festuca rubra","Festuca rupicola","Galium aparine","Galium mollugo","Galium ochroleucum","Galium x pomeranicum","Helictotrichon pratense","Hieracium pilosella","Hieracium sabaudum","Hieracium umbellatum","Hypericum perforatum","Inula conyza","Koeleria macrantha","Lamium purpureum","Lathyrus tuberosus","Myosotis arvensis","Myosotis ramosissima","Myosotis stricta","Picris hieracioides","Poa angustifolia","Poa pratensis","Polygonum aviculare","Prunus mahaleb","Rosa canina","Rosa rubiginosa","Rumex thyrsiflorus","Securigera varia","Senecio jacobaea","Senecio vernalis","Sisymbrium loeselii","Tanacetum vulgare","Torilis japonica","Tragopogon pratensis","Trifolium arvense","Trifolium campestre","Tripleurospermum perforatum","Trisetum flavescens","Urtica urens","Veronica arvensis","Vicia angustifolia","Vicia hirsuta","Vicia sativa","Vicia tetrasperma","Viola arvensis","Vulpia myuros"
"GR","10x10",155,1,1998,"0","0","0","0","0","0","15.5","0","0","0","0.1","0","0","0","0","0","15.5","0","0","0","0","0","0","0","2.5","0.1","0.1","0","0","0","0","37.5","0","0","0","0","0","2.5","0","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0","0","0","0"
"GR","10x10",156,1,1998,"0","0","0","0","0","0.1","15.5","0","0","0","0","0","0","0","0","0","37.5","0","0","0","0","0","0","0","2.5","0","2.5","0","0","0","0","15.5","0","0","0","0","0","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"GR","10x10",157,1,1998,"0","0","0","0","0","0","15.5","0","0","0","0","0","0","0","0","0","62.5","0","0","0","2.5","0","0","0","2.5","0","0","0","0","0","0","0.1","0","0","0","0","0","0","0","0","2.5","0","0","0","0","0","0","0","0","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0","0","0","0","0","0","0","0.1","0"
"GR","10x10",158,1,1998,"0","0","0","0","0","2.5","37.5","2.5","0","0","0","0","0","0","0","0","2.5","0","0","0","15.5","0","0","0","2.5","0","0","0","0","0","0","37.5","0","0","0","0","0","0","0","0","15.5","0","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0","0","0","0","0","0","0","0","0","0","0.1","0","0","0.1","0"
"GR","10x10",159,1,1998,"0","0.1","0","0","0","0","37.5","0","0","0.1","0","0","0","0","0","0","0","0","0","0","15.5","0","0","0","2.5","0","0","0","0","0","0","37.5","0","15.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5","0","0","0","0"
"GR","10x10",160,1,1998,"0","0","0","0","0","0","15.5","0","0","0","0","0","0","0","0","0","15.5","0","0","0","0.1","0","0","0","2.5","0","0","0","0","0","2.5","15.5","0","0","0","0","0","2.5","0","0","0","0","0","0","0","0","0","0","0.1","0","0","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5"
"GR","10x10",161,1,1998,"0","0","0","0","0","0","37.5","0","0","0","0","0","0","0","0","0","15.5","0","0","0","0","0","0","0","2.5","0","0.1","0","0","0","0","37.5","0","0","0","0","0","2.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0","0","0","0"
"GR","10x10",162,1,1998,"0","0","0","0","0","0","15.5","0","0","0","0","0","0","0","0","0","62.5","0","0","0","15.5","0","0.1","0","2.5","0","2.5","0","0","0","0","2.5","0","0","0","0","0","2.5","0","0","2.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0","0","0","0","0.1","0","0","0.1","2.5"
"GR","10x10",163,1,1998,"0","0","0","0","0","0","15.5","0.1","0","0","0","0","0","0","0","0","2.5","0","0","0","62.5","0","0","0","0.1","0","0","0","0","0","0","2.5","0","0","0","0","0","0","0","0","15.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0","0","0","0","0.1","0","0","0","2.5"
"GR","10x10",164,1,1998,"0","0.1","0","0","0","0","37.5","0","0","0","0","0","0","0","0","0","2.5","0","0","0","15.5","0","0","0","2.5","0","0","0","0","0","0","15.5","0","0","0","0","0","0","0","0","0.1","0","0","0","0","0","0","0","0","0","0","0","0","2.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5","0","0","0","0.1"
"GR","10x10",165,1,1998,"0","0","0","0.1","0","0","62.5","0","0","0","0","0","0","0","0","0","2.5","2.5","0","0","2.5","0","0","0","15.5","0","0","0","0","0","0","2.5","0","0","0","0","0","15.5","0","0","0","0","0","0","0","0","0","0","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0","0","0","0.1"
