"spec","spec_TRY_name","AccSpeciesID"
"Cirsium palustre","Cirsium palustre",13051
"Epilobium tetragonum","Epilobium tetragonum",20893
"Festuca rubra","Festuca rubra",24604
"Lathyrus nissolia","Lathyrus nissolia",32490
"Poa pratensis","Poa pratensis",42870
"Solidago canadensis","Solidago canadensis",50873
"Valeriana officinalis","Valeriana officinalis",55773
"Vicia hirsuta","Vicia hirsuta",56372
"Vicia tetrasperma","Vicia tetrasperma",56402
"Arrhenatherum elatius","Arrhenatherum elatius",5134
"Carex hirta","Carex hirta",10497
"Cirsium arvense","Cirsium arvense",13016
"Rubus idaeus","Rubus idaeus",47124
"Trifolium pratense","Trifolium pratense",54991
"Cirsium vulgare","Cirsium vulgare",13072
"Geum urbanum","Geum urbanum",26152
"Holcus lanatus","Holcus lanatus",29305
"Achillea millefolium","Achillea millefolium",909
"Quercus robur","Quercus robur",45470
"Juncus conglomeratus","Juncus conglomeratus",31473
"Alopecurus pratensis","Alopecurus pratensis",2872
"Cornus sanguinea","Cornus sanguinea",14595
"Dactylis glomerata","Dactylis glomerata",16700
"Plantago lanceolata","Plantago lanceolata",42541
"Prunus domestica","Prunus domestica",44335
"Rumex crispus","Rumex crispus",47468
"Agrostis capillaris","Agrostis capillaris",1905
"Trifolium repens","Trifolium repens",54998
"Carex flacca","Carex flacca",10460
"Rumex acetosa","Rumex acetosa",47451
"Epilobium angustifolium","Epilobium angustifolium",20801
"Galeopsis bifida","Galeopsis bifida",25467
"Juncus effusus","Juncus effusus",31479
"Crataegus monogyna","Crataegus monogyna",15090
"Elytrigia arenosa","Elymus repens",20359
"Vicia sativa","Vicia sativa",56395
"Myosotis arvensis","Myosotis arvensis",37495
"Carduus crispus","Carduus crispus",10340
"Trisetum flavescens","Trisetum flavescens",55161
"Sorbus aucuparia","Sorbus aucuparia",50997
"Rosa rubiginosa","Rosa rubiginosa",46780
"Eryngium campestre","Eryngium campestre",21961
"Festuca rupicola","Festuca rupicola",24606
"Galium x pomeranicum","Galium x pomeranicum",229838
"Galium mollugo","Galium mollugo",25526
"Hypericum perforatum","Hypericum perforatum",30010
"Rosa canina","Rosa canina",46728
"Festuca ovina","Festuca ovina",24510
"Rumex acetosella","Rumex acetosella",47452
"Rumex thyrsiflorus","Rumex thyrsiflorus",47518
"Tanacetum vulgare","Tanacetum vulgare",53018
"Agrimonia eupatoria","Agrimonia eupatoria",1810
"Falcaria vulgaris","Falcaria vulgaris",23910
"Agrostis stolonifera","Agrostis stolonifera",2065
"Erysimum crepidifolium","Erysimum crepidifolium",22001
"Knautia arvensis","Knautia arvensis",31809
"Festuca laevigata","Festuca laevigata",24423
"Acer platanoides","Acer platanoides",854
"Acer pseudoplatanus","Acer pseudoplatanus",855
"Galium aparine","Galium aparine",25487
"Urtica dioica","Urtica dioica",55598
"Calamagrostis epigejos","Calamagrostis epigejos",9180
"Rubus armeniacus","Rubus armeniacus",46918
"Prunus avium","Prunus avium",44304
"Fraxinus excelsior","Fraxinus excelsior",25247
"Sambucus nigra","Sambucus nigra",48206
"Juglans regia","Juglans regia",31427
"Prunus mahaleb","Prunus mahaleb",44371
"Dryopteris filix-mas","Dryopteris filix-mas",19413
"Lonicera xylosteum","Lonicera xylosteum",34168
"Clematis vitalba","Clematis vitalba",13413
"Poa trivialis","Poa trivialis",42893
"Ligustrum vulgare","Ligustrum vulgare",33431
"Poa nemoralis","Poa nemoralis",42863
"Cornus alba","Cornus alba",14553
"Taraxacum officinale","Taraxacum Ruderalia Kirschner H. Ollg. & Stepanek",265480
"Ailanthus altissima","Ailanthus altissima",2124
"Viburnum opulus","Viburnum opulus",56323
"Galium ochroleucum","Galium ochroleucum",322327
"Hieracium pilosella","Pilosella officinarum",42016
"Koeleria macrantha","Koeleria macrantha",31934
"Myosotis stricta","Myosotis stricta",37512
"Myosotis ramosissima","Myosotis ramosissima",37504
"Trifolium campestre","Trifolium campestre",54936
"Arabidopsis thaliana","Arabidopsis thaliana",4341
"Viola arvensis","Viola arvensis",56491
"Polygonum aviculare","Polygonum aviculare",43221
"Dianthus carthusianorum","Dianthus carthusianorum",17587
"Potentilla argentea","Potentilla argentea",43638
"Helichrysum arenarium","Helichrysum arenarium",28161
"Galium verum","Galium verum",25573
"Scabiosa ochroleuca","Scabiosa ochroleuca",48648
"Anthoxanthum odoratum","Anthoxanthum odoratum",4036
"Veronica arvensis","Veronica arvensis",56236
"Lathyrus tuberosus","Lathyrus tuberosus",32511
"Potentilla reptans","Potentilla reptans",43716
"Rubus caesius","Rubus caesius",46948
"Fallopia convolvulus","Fallopia convolvulus",23920
"Aethusa cynapium","Aethusa cynapium",1593
"Thlaspi arvense","Thlaspi arvense",54165
"Lamium purpureum","Lamium purpureum",32245
"Torilis japonica","Torilis japonica",54489
"Vicia sepium","Vicia sepium",56396
"Pyrus pyraster","Pyrus pyraster",45249
"Aphanes arvensis","Aphanes arvensis",4185
"Poa angustifolia","Poa angustifolia",42804
"Epilobium ciliatum","Epilobium ciliatum",20816
"Acer negundo","Acer negundo",841
"Cerasus mahaleb","Prunus mahaleb",44371
"Picris hieracioides","Picris hieracioides",41971
"Chaerophyllum bulbosum","Chaerophyllum bulbosum",11931
"Cerasus avium","Cerasus avium var. juliana",212904
"Lonicera tatarica","Lonicera tatarica",34165
"Rhamnus cathartica","Rhamnus cathartica",45983
